Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
"I don't normally give a perfect score, but this place deserves it. Even though the original room I was in was a little loud from traffic, I can't blame the hotel since it was Halloween night. The host Fabian is one of the nicest hosts I've had the pleasure of meeting. Such a helpful and friendly host who literally went out of his way to drive me to the bus station and offered a ton of information. The bed was also super comfortable. I would definitely recommend this place!",J.P. Morgan,maps,13.0,Punta Arenas,"I don't normally give a perfect score, but this place deserves it.  Even know the original room I was in was a little loud from traffic I can't blame the hotel as it was Halloween night.  The host Fabian is one of the nicest hosts i've had the pleasure of meeting.  Such a helpful and friendly host who literally went out of the way to drive me to the bus station and offered a ton of information.  The bed was also super comfortable.  I would definitely recommend this place!",POSITIVE,0.997389018535614,8.387690468225628e-05,0.0001932662853505,0.0023339570034295,99.74856516782891,2023-11-02,Other,5,Environmental,Banking,Poor,November,11,2023,Environmental,344,99.74856516782891
Servicios fabulosos y alojamiento excelente!,J.P. Morgan,maps,13.0,Punta Arenas,Fabulous services and excellent accommodation!,POSITIVE,0.9995577931404114,2.182438402087428e-05,0.0003192014701198,0.0001011841814033,99.97173938754712,2024-04-29,Other,5,Other,Banking,Poor,April,4,2024,Other,344,99.97173938754712
"Excellent city with a resemblance to Viña Del Mar, good variety of restaurants and activities to do.",J.P. Morgan,maps,13.0,Puerto Montt,"Exelente ciudad con un parecido a viña Del Mar, buena variedad de restaurantes y actividades que hacer",POSITIVE,0.9942092895507812,8.699345198692754e-05,0.0056794742122292,2.4200651751016267e-05,99.7049026656896,2023-05-10,Other,5,Other,Banking,Poor,May,5,2023,Other,344,99.7049026656896
"Very good attention, fast and efficient.",Banco Internacional,maps,8.0,Hualpén,"Muy buena atención, rapida y eficaz.",POSITIVE,0.9996254444122314,2.3931181203806773e-05,0.0003134573926217,3.7175577745074406e-05,99.97821731085423,2023-09-29,Other,5,Other,Banking,Poor,September,9,2023,Other,344,99.97821731085423
"There is no first-come-first-served form of service regulated by the bank, no ticket system or anything like that, people must organize themselves to know who is next. I went to inquire about a checking account and a term deposit, and the executive tells you that all that must be done online, so the bank is good for nothing other than cashing.",Banco Internacional,maps,8.0,Santiago,"No hay una forma de atención por orden de llegada regulada por el banco, sacar números ni nada la gente se debe organizar sola para saber quién viene. Fui a consultar por cuenta corriente y deposito a plazo y la ejecutiva te indica que todo eso se debe hacer por la web, osea el banco no sirve para nada más que caja",MIXED,0.0183130856603384,0.100938580930233,0.1101089641451835,0.7706394195556641,7.33675677329301,2024-02-29,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,67,7.33675677329301
Closed no ATM,Banco Internacional,maps,8.0,La Serena,Fermé pas de distributeur,NEGATIVE,0.0022306630853563,0.8668204545974731,0.1304190009832382,0.0005298953619785,6.744016357697539,2023-12-25,Other,5,Other,Banking,Poor,December,12,2023,Other,451,6.744016357697539
"Vitacura branch with poor service, they are being assisted by an operational ""people"" executive, which generates a wait of over an hour and 15 min. There is no preferential treatment for the elderly or disabled. Upon arrival, a disabled elderly person reports having been waiting for over an hour. For the operations that the bank receives, they should have more staff.",Banco Internacional,maps,8.0,Santiago,"Sucursal de vitacura con atencion deficiente, están atendiendo con una ejecutivade “personas” operativa, lo que genera una espera de más una hora y 15 min. No existe trato preferencial para el adulto mayor o discapacitado. Al llegar una persona de 3era edad inhabilitada reporta llevar esperando mas 1 hora. Para las operaciones que el banco recibe deberia tener mas personalz",NEGATIVE,0.0002625259512569,0.9927815794944764,0.0068453727290034,0.0001106093259295,0.36852123157586,2024-03-22,Human Capital,2,Social Internal,Banking,Poor,March,3,2024,Social Internal,451,0.36852123157586
Good service overall,Banco Internacional,maps,8.0,Antofagasta,Buen servicio en general,POSITIVE,0.9998254179954528,2.209488593507558e-05,0.0001100286172004,4.247531251166947e-05,99.98804323040532,2023-12-22,Social Capital,1,Social External,Banking,Poor,December,12,2023,Social External,344,99.98804323040532
"Efficient and quick service, it is not too crowded, and the staff provides excellent quality service.",Banco Internacional,maps,8.0,Colina,"Atencion eficiente y rapida, es poco concurrido, y el personal brinda una atencion de excelente calidad",POSITIVE,0.9997041821479796,2.211896025983151e-05,0.0002505038573872,2.315632082172669e-05,99.98294340766734,2023-05-24,Human Capital,2,Social Internal,Banking,Poor,May,5,2023,Social Internal,344,99.98294340766734
"Hello, good afternoon. Try to improve your services. How is it possible for the cashier to take up to an hour with a client?",Banco Internacional,maps,8.0,Quilpué,Hola buenas tardes traten de mejorar  sus servicios como es posible que la cajera dure hasta una hora con un cliente,NEUTRAL,0.0899842455983161,0.1275646686553955,0.7793648838996887,0.0030861934646964,47.96666875481605,2023-11-07,Other,5,Social External,Banking,Poor,November,11,2023,Social External,138,47.96666875481605
"Excellent service. The staff is friendly. I have seen some very unfortunate comments; perhaps I have been lucky because the customer's attitude also influences the service. When going to any bank, it is important to do so with respect and patience, understanding that the wait time depends on the type of transaction being conducted, and not blaming the employee for something beyond their control. Respect, patience, and tolerance are key to being well served. We are all equally important.",Banco Internacional,maps,8.0,Quillota,"Excelente atención .Las funcionarias  amables, he visto  comentarios  muy poco afortunados, quizás  he tenido suerte porque la actitud  del cliente,también  influye en la atención.  A todo banco se va con respeto y paciencia, pensando que la demora depende del tipo de trámite que se esté haciendo  y no culpar al funcionario   por algo que no depende  de él o ella. Respeto paciencia  y tolerancia  para ser bien atendido. Todos somos igual de importantes.",POSITIVE,0.9901206493377686,0.0002518979890737,0.0086723901331424,0.0009550630347803,99.44568444043398,2023-11-23,Human Capital,2,Social Internal,Banking,Poor,November,11,2023,Social Internal,344,99.44568444043398
"NO FEE ATM - He podido retirar 2 montos máximos consecutivos de $400,000 CLP en el mismo día",Banco Internacional,maps,8.0,Santiago,"NO FEE ATM - I have been able to withdraw 2 consecutive max amounts of $400,000 CLP on the same day",NEGATIVE,0.0012326360447332,0.981115221977234,0.0175761729478836,7.592423935420811e-05,1.0020722518675,2023-08-19,Other,5,Other,Banking,Poor,August,8,2023,Other,451,1.0020722518675
"The Central American Bank for Economic Integration (BCIE) banned Christian Bulgarelli Rojas and his company RMC La Productora for seven years, including them on its Prohibited Counterparties List for...",Banco Internacional,news,8.0,Santiago,"El Banco Centroamericano de Integración Económica (BCIE) vetó a Christian Bulgarelli Rojas y a su empresa RMC La Productora por siete años, al incluirlos en su Lista de Contrapartes Prohibidas por es… [+1418 chars]",NEUTRAL,0.0058827684260904,0.168647900223732,0.825360119342804,0.0001092485181288,41.85628280974924,2024-06-12,Human Capital,2,Environmental,Banking,Poor,June,6,2024,Environmental,138,41.85628280974924
"They don't answer phones or emails, not recommended at all.",Banco Internacional,maps,8.0,Talcahuano,"No contestan teléfonos ni correos electrónicos, cero recomendable",NEGATIVE,0.0004650208575185,0.9988002777099608,0.0006839465349912,5.070407860330306e-05,0.08069941250141,2023-07-04,Other,5,Environmental,Banking,Poor,July,7,2023,Environmental,451,0.08069941250141
Very fast branch,Banco Internacional,maps,8.0,San Felipe,Sucursal muy rapida,POSITIVE,0.9651575684547424,0.0270065758377313,0.0076209916733205,0.0002149225183529,96.89680642914028,2023-12-14,Other,5,Other,Banking,Poor,December,12,2023,Other,344,96.89680642914028
"Igual que abajo, me cobraron 5,000 por el retiro con mi tarjeta de Wise. Aunque el cajero automático se siente seguro de usar porque está adentro y hay un guardia de servicio. 

Same as below, I was charged 5,000 for withdrawal with my Wise card. The ATM feels safe to use though as it is indoors with a guard on duty.",Banco Internacional,maps,8.0,Santiago,"Same as below, was charged 5,000 for withdrawal with my Wise card. ATM feels safe to use though as it is indoors with a guard on duty",POSITIVE,0.7512579560279846,0.0111295124515891,0.2153673022985458,0.022245168685913,85.89416071772575,2024-02-12,Other,5,Other,Banking,Poor,February,2,2024,Other,344,85.89416071772575
"Branch El Cortijo of Banco Internacional, we are located at Forestal Avenue 2758 A, behind Banco de Chile.",Banco Internacional,maps,8.0,Santiago,"Sucursal El Cortijo  del Banco Internacional ,estamos en Avenida Forestal 2758 A,  detrás del Banco de Chile.",NEUTRAL,0.002236739732325,0.0002232342085335,0.997529685497284,1.030724342854228e-05,50.100158248096704,2024-01-05,Other,5,Environmental,Banking,Poor,January,1,2024,Environmental,138,50.100158248096704
"Fast, efficient",Banco Internacional,maps,8.0,Santiago,"Rapido, eficiente",POSITIVE,0.9990780353546144,2.6947629521600905e-05,0.0008735067676752,2.153638342861086e-05,99.9514788738452,2023-05-25,Other,5,Other,Banking,Poor,May,5,2023,Other,344,99.9514788738452
"Efficient and quick service, it is not crowded, and the staff provides excellent quality service.",Banco Internacional,maps,8.0,Santiago,"Atencion eficiente y rapida, es poco concurrido, y el personal brinda una atencion de excelente calidad",POSITIVE,0.9997463822364808,2.4082810341496952e-05,0.0002056409430224,2.3858236090745777e-05,99.9849202707992,2023-05-24,Human Capital,2,Social Internal,Banking,Poor,May,5,2023,Social Internal,344,99.9849202707992
Pleasant attention,Banco Internacional,maps,8.0,Santiago,Atención agradable,POSITIVE,0.8255690336227417,0.1147823184728622,0.0504421889781951,0.0092064579948782,85.07901281118393,2023-10-05,Other,5,Other,Banking,Poor,October,10,2023,Other,344,85.07901281118393
Safe and comfortable place,Banco Internacional,maps,8.0,San Antonio,Lugar seguro y confortable,POSITIVE,0.999158501625061,1.856067865446676e-05,0.0007968480931594,2.606552152428776e-05,99.95569256716408,2024-03-26,Other,5,Other,Banking,Poor,March,3,2024,Other,344,99.95569256716408
"They don't answer phones or emails, not recommended at all.",Banco Internacional,maps,8.0,Curanilahue,"No contestan teléfonos ni correos electrónicos, cero recomendable",NEGATIVE,0.0004650208575185,0.9988002777099608,0.0006839465349912,5.070407860330306e-05,0.08069941250141,2023-07-04,Other,5,Environmental,Banking,Poor,July,7,2023,Environmental,451,0.08069941250141
"Good afternoon, International Bank El Cortijo branch is located at 2758 Avenida Forestal, Conchali, next to all the other banks, specifically behind Banco de Chile. We are open Monday to Friday from 09:00 to 14:00 hours.",Banco Internacional,maps,8.0,Buin,"Buenas tardes Banco internacional sucursal el Cortijo estamos ubicados en Avenida Forestal 2758 A Conchali , junto a todos los otros banco , específicamente estamos detrás de Banco de chile Abierto de lunes a viernes de 09.00 a 14.00 horas.",NEUTRAL,0.2033536285161972,0.0031412080861628,0.7934862971305847,1.8870077838073485e-05,60.00967770814896,2024-01-12,Other,5,Environmental,Banking,Poor,January,1,2024,Environmental,138,60.00967770814896
Pleasant attention.,Banco Internacional,maps,8.0,Peñaflor,Atención agradable,POSITIVE,0.9456584453582764,0.0340266861021518,0.0195959918200969,0.0007188624003902,95.54564412683249,2023-10-05,Other,5,Other,Banking,Poor,October,10,2023,Other,344,95.54564412683249
Very fast branch,Banco Internacional,maps,8.0,Melipilla,Sucursal muy rapida,POSITIVE,0.9651575684547424,0.0270065758377313,0.0076209916733205,0.0002149225183529,96.89680642914028,2023-12-14,Other,5,Other,Banking,Poor,December,12,2023,Other,344,96.89680642914028
"It is not clear if it is reliable, it still generates doubts.",BTG Pactual,maps,2.0,Buin,No se ve  qué sea confiable igual genera dudas,NEGATIVE,0.0194090362638235,0.8205487728118896,0.0811510160565376,0.0788911804556846,5.998454429209231,2024-03-11,Other,5,Other,Banking,Poor,March,3,2024,Other,451,5.998454429209231
Excellent investment platform,BTG Pactual,maps,2.0,San Felipe,Excelente plataforma de inversiones,POSITIVE,0.9987239241600036,4.5745451643597335e-05,0.0012145615182816,1.5816292943782173e-05,99.93312049191444,2024-05-15,Other,5,Other,Banking,Poor,May,5,2024,Other,344,99.93312049191444
The fall in global inflation and the anticipated shift of central banks towards reducing interest rates seem to stabilize initial public offerings at an international level. After... [+10259 chars],BTG Pactual,news,2.0,Santiago,La caída de la inflación mundial y el esperado giro de los bancos centrales hacia la reducción de las tasas de intereses parecieran estabilizar las salidas a bolsa a nivel internacional.  Tras un per… [+10259 chars],NEUTRAL,0.0049376124516129,0.1196226924657821,0.873477578163147,0.0019622119143605,44.16764015331864,2024-06-01,Social Capital,1,Social External,Banking,Poor,June,6,2024,Social External,138,44.16764015331864
The caution crossed the gaze of economists in response to the estimation made by President Gabriel Boric in his annual account that during his term the country will grow more than the average of the u...,BTG Pactual,news,2.0,Santiago,La cautela cruzó la mirada de los economistas frente a la estimación hecha por el Presidente Gabriel Boric en su cuenta anual respecto a que en su mandato el país crecerá más que el promedio de los ú… [+2395 chars],NEUTRAL,0.0138637069612741,0.1858079135417938,0.7997556328773499,0.000572748191189,41.37415233999491,2024-06-04,Other,5,Environmental,Banking,Poor,June,6,2024,Environmental,138,41.37415233999491
Excellent investment platform,BTG Pactual,maps,2.0,Valparaíso,Excelente plataforma de inversiones,POSITIVE,0.9987239241600036,4.5745451643597335e-05,0.0012145615182816,1.5816292943782173e-05,99.93312049191444,2024-05-15,Other,5,Other,Banking,Poor,May,5,2024,Other,344,99.93312049191444
"Aprovecha esta oportunidad para comerciar criptomonedas y divisas de forma rentable. Si alguien está tratando de resolver problemas o preocupaciones sobre el comercio, recomendaría altamente a Gabriel Kayan. Él me ha ofrecido consejos perspicaces y tácticas que han mejorado la forma en que ha crecido mi cartera.
👇👇👇
WhatsApp +1 214 699 7239

Facebook- https://www.facebook.com/gabriel.kayan49",BTG Pactual,facebook,2.0,Santiago,"Take advantage of this chance to trade cryptocurrency and FX profitably.If someone is trying to solve any problems or worries about trading, I would highly recommend Gabriel Kayan. He has offered me insightful advice and tactics that have improved the way my portfolio has grown.
👇👇👇
WhatsApp +1 214 699 7239

Facebook- https://www.facebook.com/gabriel.kayan49",POSITIVE,0.7716371417045593,0.0002495906373951,0.2271777093410492,0.000935613818001,88.52259963750839,2024-05-23,Other,5,Environmental,Banking,Poor,May,5,2024,Environmental,344,88.52259963750839
"It is not clear that it is reliable, it also generates doubts.",BTG Pactual,maps,2.0,Melipilla,No se ve  qué sea confiable igual genera dudas,NEGATIVE,0.0122869871556758,0.915147066116333,0.0264655705541372,0.0461003705859184,2.55197724327445,2024-03-11,Other,5,Other,Banking,Poor,March,3,2024,Other,451,2.55197724327445
Excellent investment platform,BTG Pactual,maps,2.0,San Antonio,Excelente plataforma de inversiones,POSITIVE,0.9987239241600036,4.5745451643597335e-05,0.0012145615182816,1.5816292943782173e-05,99.93312049191444,2024-05-15,Other,5,Other,Banking,Poor,May,5,2024,Other,344,99.93312049191444
"The passage of Chile Day 2024 in Toronto culminated with the call from various market actors to regain its depth that, after the pandemic, the departure of local capital and pension withdrawals...",BTG Pactual,news,2.0,Santiago,"El paso del Chile Day 2024 en Toronto culminó con el llamado de distintos actores del mercado a recuperar su profundidad que, tras la pandemia, la salida de capitales locales y los retiros de pension… [+1763 chars]",NEUTRAL,0.0476500578224659,0.0089728021994233,0.9433506727218628,2.646316534082871e-05,51.93253941833973,2024-05-30,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,138,51.93253941833973
"Even though there are still several weeks left before June ends, the end of this month will mark the close of the second quarter and market analysts have already started making their projections for the rest...",BTG Pactual,news,2.0,Santiago,"A pesar de que aún quedan varias semanas para que finalice junio, el fin de este mes marcará el cierre del segundo trimestre y los analistas del mercado ya comenzaron a hacer sus proyecciones de resu… [+3166 chars]",NEUTRAL,0.0812901332974433,0.0526290573179721,0.8232035636901855,0.0428773202002048,49.28919151425361,2024-06-07,Social Capital,1,Environmental,Banking,Poor,June,6,2024,Environmental,138,49.28919151425361
"Falabella will have movements in its stocks again. As announced to the market this Monday, a stock auction of the retailer will be held on Wednesday, June 12th at the Santiago Stock Exchange...",BTG Pactual,news,2.0,Santiago,"Falabella nuevamente tendrá movimientos en sus acciones. Según se anunció al mercado este lunes, en la Bolsa de Santiago el miércoles 12 de junio se realizará un remate de títulos del retailer en la … [+873 chars]",NEUTRAL,0.1856789886951446,0.0049075968563556,0.8093779683113098,3.545171784935519e-05,59.03679728507996,2024-06-10,Social Capital,1,Social External,Banking,Poor,June,6,2024,Social External,138,59.03679728507996
"It is not clear whether it is reliable, it still generates doubts.",BTG Pactual,maps,2.0,Santiago,No se ve  qué sea confiable igual genera dudas,NEGATIVE,0.0179558973759412,0.8407437205314636,0.0743227675557136,0.0669776275753974,5.51172811537981,2024-03-11,Other,5,Other,Banking,Poor,March,3,2024,Other,451,5.51172811537981
"The Monthly Index of Economic Activity (Imacec) grew by 3.5% in April, compared to the same month in 2023, the Central Bank reported on Monday, an increase that was within the market's estimates.",BTG Pactual,news,2.0,Santiago,"El Índice Mensual de Actividad Económica (Imacec) creció 3,5% en abril, comparado con igual mes de 2023, informó el lunes el Banco Central, un alza que se ubicó dentro de lo estimado por el mercado.… [+3935 chars]",NEUTRAL,0.0126560162752866,0.0181931927800178,0.9691312313079834,1.9547685951692984e-05,49.72216319292784,2024-06-04,Social Capital,1,Environmental,Banking,Poor,June,6,2024,Environmental,138,49.72216319292784
"The last few weeks have been quite eventful in terms of cybersecurity. Companies like DGT, Ticketmaster, or Santander bank, among many others, have been involved in a wave of...",Banco Santander,news,11.0,Santiago,"Las últimas semanas han sido bastante agitadas en materia de ciberseguridad. Empresas de la talla de la DGT, Ticketmaster o el banco Santander, entre muchas otras, se han visto envueltas en una ola d… [+3365 chars]",NEUTRAL,0.1333463042974472,0.0180074144154787,0.847854495048523,0.0007918420596979,55.72735518217087,2024-06-03,Other,5,Governance,Banking,Poor,June,6,2024,Governance,138,55.72735518217087
"For those of us who have known Carlos Barrabés for years, it hurts us, as if it were our own flesh, the hunting he is being subjected to. For those of us who have dedicated many years to supporting entrepreneurs,...",Banco Santander,news,11.0,Santiago,"A quienes conocemos a Carlos Barrabés desde hace años nos duele, como si fuese en carne propia, la cacería de la que está siendo objeto. A quienes hemos dedicado muchos años a apoyar a emprendedores,… [+2969 chars]",NEUTRAL,0.0334079936146736,0.3650732934474945,0.397466242313385,0.2040524780750274,23.21411147713661,2024-06-18,Other,5,Other,Banking,Poor,June,6,2024,Other,138,23.21411147713661
"A mixture of European ministers, European Union (EU) commissioners, business elites, and members of royalty met in Madrid last weekend. It was four days of conversations...",Banco Santander,news,11.0,Santiago,"Una mezcla de ministros europeos, comisarios de la Unión Europea (UE), élites empresariales y miembros de la realeza se reunió en Madrid el fin de semana pasado. Fueron cuatro días de conversaciones … [+6676 chars]",NEUTRAL,0.0003852191148325,0.0006078085280023,0.9990028738975524,4.116697255085455e-06,49.98866560636088,2024-06-08,Social Capital,1,Social Internal,Banking,Poor,June,6,2024,Social Internal,138,49.98866560636088
The sanctions imposed by the SEC on entities whose employees use instant messaging applications already exceed $2.5 billion. Banco Santander has eliminated the applications...,Banco Santander,news,11.0,Santiago,Las sanciones impuestas por la SEC a las entidades cuyos empleados utilizan aplicaciones de mensajería instantánea superan ya los 2.500 millones de dólares. Banco Santander ha eliminado las aplicacio… [+1225 chars],NEGATIVE,0.0048721334896981,0.619843065738678,0.3740925192832947,0.0011922160629183,19.19183931313455,2024-06-20,Other,5,Social Internal,Banking,Poor,June,6,2024,Social Internal,451,19.19183931313455
"The wave of cyberattacks and security breaches in strategic companies and the public sector -Air Europa, Banco Santander, Iberdrola, Telefónica, the DGT...- puts more pressure on the Ministry of Transfo...",Banco Santander,news,11.0,Santiago,"La oleada de ciberataques y brechas de seguridad en empresas estratégicas y el sector público -Air Europa, Banco Santander, Iberdrola, Telefónica, la DGT...- mete más presión al Ministerio de Transfo… [+647 chars]",NEUTRAL,0.0015840546693652,0.102811150252819,0.8955780267715454,2.6826628527487628e-05,44.9373068055138,2024-06-04,Social Capital,1,Social External,Banking,Poor,June,6,2024,Social External,138,44.9373068055138
"May has been a terrible month for Spanish cybersecurity. In a matter of days, victims of cyberattacks have fallen, or they are investigating alleged security breaches, such as Banco Santander, Telefónica...",Banco Santander,news,11.0,Santiago,"Mayo ha sido un mes terrible para la ciberseguridad española. En cuestión de días han caído víctimas de ciberataque, o están investigando supuestas brechas de seguridad, el Banco Santander, Telefónic… [+5854 chars]",NEGATIVE,0.0002940347767435,0.9420475959777832,0.057623416185379,3.5019253118662164e-05,2.9105742869433,2024-05-31,Leadership and Governance,4,Governance,Banking,Poor,May,5,2024,Governance,451,2.9105742869433
"As every end of the month, retirees wait for the day their pension is paid, which is undoubtedly one of their most anticipated moments since this income represents stability and security for them.",Banco Santander,news,11.0,Santiago,"Como cada final de mes, los jubilados esperan el día de cobro de su pensión, el cual, sin duda, es uno de sus momentos más esperados ya que este ingreso supone para ellos una estabilidad y seguridad … [+2675 chars]",MIXED,0.0361730493605136,0.0798138454556465,0.3452153205871582,0.5387977361679077,20.87807096540928,2024-06-05,Leadership and Governance,4,Governance,Banking,Poor,June,6,2024,Governance,67,20.87807096540928
"According to information released by Kartesia, Banco Santander signed a senior line to refinance the outstanding debt at the operational entities level, strengthening the balance sheet with capital.",Banco Santander,news,11.0,Santiago,"De acuerdo a la información difundida por Kartesia, Banco Santander suscribió una línea senior para refinanciar la deuda pendiente a nivel de las entidades operativas, reforzando el balance con capit… [+2018 chars]",NEUTRAL,0.0178693961352109,0.0005651794490404,0.9815322160720824,3.317889058962464e-05,50.863550417125225,2024-05-29,Business Model and Innovation,3,Social Internal,Banking,Poor,May,5,2024,Social Internal,138,50.863550417125225
"The princess of the town and the queen of Spain have seen each other again. As funny as it may seem, it is true. Letizia and Esteban know each other, have had several conversations, and we will never know the rest...",Banco Santander,news,11.0,Santiago,"La princesa del pueblo y la reina de España han vuelto a verse las caras. Por cómico que parezca, es cierto. Letizia y Esteban se conocen, han mantenido varias conversaciones y jamás sabremos el cont… [+1269 chars]",NEUTRAL,0.3078151643276214,0.0233386810868978,0.6684484481811523,0.0003976885636802,64.20393884181976,2024-06-12,Other,5,Other,Banking,Poor,June,6,2024,Other,138,64.20393884181976
"Another Spanish entity is a protagonist of hacker folklore during this 2024. This time it was not Banco Santander or the website of the Congress of Deputies, but a public entity like the DGT (Traffic Directorate... [+2794 chars]",Banco Santander,news,11.0,Santiago,"Otra entidad española es protagonista del folclore hacker durante este 2024. Esta vez no ha sido el Banco Santander o la web del Congreso de los Diputados, sino un ente público como la DGT (Dirección… [+2794 chars]",NEUTRAL,0.0016142689855769,0.013452498242259,0.9849209189414978,1.2379448889987543e-05,49.407472845632576,2024-05-31,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,138,49.407472845632576
"Queen Letizia has participated this Tuesday in the closing of the 16th edition of the ""Euros from your payroll"" initiative by Banco Santander, which promotes social projects. During her speech, she has recalled...",Banco Santander,news,11.0,Santiago,"La reina Letizia ha intervenido este martes en la clausura de la 16ª edición de la iniciativa Euros de tu nómina del Banco Santander, que promueve proyectos sociales. Durante su discurso ha recordado… [+1422 chars]",NEUTRAL,0.0133545193821191,0.0004008811083622,0.9862390160560608,5.540289748751093e-06,50.64740274101496,2024-06-11,Other,5,Other,Banking,Poor,June,6,2024,Other,138,50.64740274101496
"Iberdrola has reported that between May 5 and 7, they suffered a cyberattack that affected more than 600,000 Spanish customers, although they have informed that their data has not been compromised, according to...",Banco Santander,news,11.0,Santiago,"Iberdrola ha comunicado que entre los días 5 y 7 de mayo sufrieron un ciberataque que afectó a más de 600.000 clientes españoles, aunque han informado de que sus datos no han sido vulnerados, según f… [+2249 chars]",NEUTRAL,0.0026530153118073,0.4362195134162903,0.5607322454452515,0.0003951948601752,28.30191380344332,2024-05-29,Other,5,Social External,Banking,Poor,May,5,2024,Social External,138,28.30191380344332
"Inditex reported a net profit of 1,294 million euros during the first quarter of its fiscal year 2024-2025 (between February 1 and April 30), representing a 10% increase...",Banco Santander,news,11.0,Santiago,"Inditex registró un beneficio neto de 1.294 millones de euros durante el primer trimestre de su ejercicio fiscal 2024-2025 (entre el 1 de febrero y el 30 de abril), lo que supone un incremento del 10… [+4762 chars]",NEUTRAL,0.0051877396181225,0.0024391065817326,0.9923582673072816,1.488069483457366e-05,50.13668732717633,2024-06-05,Other,5,Other,Banking,Poor,June,6,2024,Other,138,50.13668732717633
"Zara, Santander, and Mercadona are, in that order, the most perceived sustainable Spanish brands, and the ones with the greatest potential in sustainability communication according to the latest report Spain 10...",Banco Santander,news,11.0,Santiago,"Zara, Santander y Mercadona son, por este orden, las marcas españolas percibidas más sostenibles y
 las que mayor potencial en comunicación de sostenibilidad poseen según el último informe España 10… [+13754 chars]",NEUTRAL,0.2034260630607605,0.059944998472929,0.7333275079727173,0.0033014877699315,57.00898170471192,2024-06-03,Environment,0,Environmental,Banking,Poor,June,6,2024,Environmental,138,57.00898170471192
"Cases of attempted fraud through mobile phones or emails are becoming more and more frequent. New technologies, artificial intelligence, and the sophistication of many...",Banco Santander,news,11.0,Santiago,"Son cada vez más frecuentes los casos de intento de estafa a través de los teléfonos móviles o los correos electrónicos. Las nuevas tecnologías, la inteligencia artificial y la sofisticación de mucha… [+1306 chars]",NEUTRAL,0.019370824098587,0.1921431124210357,0.7860994338989258,0.0023866568226367,41.24205410480499,2024-05-26,Other,5,Environmental,Banking,Poor,May,5,2024,Environmental,138,41.24205410480499
"The cybersecurity teams of the companies in the IBEX35 are still trembling with the shockwaves of what is turning out to be a real black week. Thus, to the data leak of 120,000 customers that...",Banco Santander,news,11.0,Santiago,"Los equipos de ciberseguridad de las empresas del IBEX35 siguen temblando con las sacudidas de la que está siendo una auténtica semana negra. Así, a la filtración de datos de 120.000 clientes que tod… [+1983 chars]",NEGATIVE,0.004860311280936,0.54901123046875,0.4428361356258392,0.0032923822291195,22.62783790938556,2024-05-30,Other,5,Social External,Banking,Poor,May,5,2024,Social External,451,22.62783790938556
"The music festival Música en Grande, which will celebrate its fourteenth edition between Thursday, June 27 and Saturday, June 29 at El Malecón stadium in Torrelavega, has surpassed the 2,000 mark this Monday…",Banco Santander,news,11.0,Santiago,"El festival Música en Grande, que celebrará su decimocuarta edición entre el jueves 27 y el sábado 29 de junio en el estadio de El Malecón de Torrelavega, ha superado este lunes la cifra de los 2.000… [+3970 chars]",NEUTRAL,0.4989512860774994,0.0005225779023021,0.5004827380180359,4.336867277743295e-05,74.91926550865173,2024-05-27,Other,5,Other,Banking,Poor,May,5,2024,Other,138,74.91926550865173
"One of Iberdrola's suppliers suffered a cyberattack between May 5 and 7, causing ""partial access to information"" of around 600,000 customers, as reported by El Es...",Banco Santander,news,11.0,Santiago,"Uno de los proveedores de Iberdrolasufrió un ciberataque entre el 5 y 7 de mayo provocando ""el acceso parcial a información"" de alrededor de 600.000 clientes, según ha adelantado este miércoles El Es… [+882 chars]",NEGATIVE,0.0011640168959274,0.5793625712394714,0.4194179773330688,5.544905798160471e-05,21.08730055624619,2024-05-29,Other,5,Social External,Banking,Poor,May,5,2024,Social External,451,21.08730055624619
"Ripple announced the completion of the acquisition of the digital asset custody company, Standard Custody & Trust. The company began the purchase of the custody company since February of this...",HSBC,news,9.0,Santiago,"Ripple anunció la finalización de adquisición de la empresa de custodia de activos digitales, Standard Custody &amp; Trust. La empresa inició la compra de la empresa de custodia desde febrero de este… [+3295 chars]",NEUTRAL,0.0166801586747169,0.002321737119928,0.9809370636940002,6.1031721998006105e-05,50.71486905217171,2024-06-11,Business Model and Innovation,3,Governance,Banking,Poor,June,6,2024,Governance,138,50.71486905217171
"Newspaper La Jornada, Monday May 27, 2024, p. 21
Dubai. Saudi Arabia is planning a multimillion-dollar sale of shares in the energy giant Aramco in June, in what would be one of the biggest operations...",HSBC,news,9.0,Santiago,"Periódico La JornadaLunes 27 de mayo de 2024, p. 21
Dubái. Arabia Saudita planea una venta multimillonaria de acciones del gigante energético Aramco en junio, en lo que sería una de las mayores oper… [+1850 chars]",NEUTRAL,0.0200347006320953,0.001310555380769,0.9786412119865416,1.34751217046869e-05,50.93553066253662,2024-05-27,Environment,0,Environmental,Banking,Poor,May,5,2024,Environmental,138,50.93553066253662
